No,모델 시리얼(*),주소,좌표 구분코드,위도,경도,비고
1,V02Q1940059,서울특별시 강남구 일원동 688,W84,37.489529884,127.075346275,
2,V02Q1940293,서울특별시 강남구 개포동 1221-3,W84,37.476400690,127.048489256,
3,V02Q1940060,서울특별시 강남구 일원동 735-1,W84,37.483397241,127.086233850,
4,V02Q1940079,서울특별시 강남구 일원동 707,W84,37.494102447,127.082209375,
5,V02Q1940129,서울특별시 강남구 대치동 16-1,W84,37.497655712,127.074398747,
6,V02Q1940123,서울특별시 강남구 대치동 1028-1,W84,37.494899122,127.061842654,
7,V02Q1940246,서울특별시 강남구 대치동 27-14,W84,37.499370861,127.072725308,
8,V02Q1940094,서울특별시 강남구 세곡동 110-5,W84,37.466829430,127.108892930,
9,V02Q1940178,서울특별시 강남구 신사동 667-6,W84,37.521053134,127.019456063,
10,V02Q1940161,서울특별시 강남구 신사동 658-2,W84,37.526342753,127.037461441,
11,V02Q1940152,서울특별시 강남구 역삼동 695-14,W84,37.506539586,127.045727927,
12,V02Q1940175,서울특별시 강남구 청담동 139-15,W84,37.527788143,127.046799226,
13,V02Q1940149,서울특별시 강남구 도곡동 421-5,W84,37.485060546,127.044068025,
14,V02Q1940145,서울특별시 강남구 논현동 22,W84,37.514024187,127.021681163,
15,V02Q1940313,서울특별시 강남구 수서동 745-4,W84,37.485535862,127.087427345,
16,V02Q1940309,서울특별시 강남구 역삼동 782-9,W84,37.493738770,127.042374226,
17,V02Q1940315,서울특별시 강남구 개포동 660-1,W84,37.483916152,127.057596450,
18,V02Q1940273,서울특별시 강남구 논현동 107-44,W84,37.517512115,127.037133630,
19,V02Q1940236,서울특별시 강남구 도곡동 893-9,W84,37.488153702,127.039413626,
20,V02Q1940063,서울특별시 강남구 삼성동 111-32,W84,37.516061590,127.061880097,
21,V02Q1940080,서울특별시 강남구 삼성동 111-138,W84,37.513101818,127.045818282,
22,V02Q1940177,서울특별시 강남구 대치동 905,W84,37.502278254,127.053964693,
23,V02Q1940239,서울특별시 강남구 대치동 1027,W84,37.493447190,127.056961271,
24,V02Q1940098,서울특별시 강남구 수서동 447-5,W84,37.4863055,127.099588,
25,V02Q1940192,서울특별시 강남구 청담동 77-43,W84,37.522242728,127.053451588,
26,V02Q1940724,서울특별시 강남구 역삼동 805-36,W84,37.497322012,127.051315822,
27,V02Q1940954,서울특별시 강남구 논현동 280,W84,37.508670997,127.022791432,
28,V02Q1940953,서울특별시 강남구 개포동 186-19,W84,37.489030413,127.067883398,
29,V02Q1940164,서울특별시 강남구 개포동 186-19,W84,37.488586874,127.067987758,
30,V02Q1940100,서울특별시 강남구 일원동 3-16,W84,37.494978959,127.093144214,
31,V02Q1940082,서울특별시 강남구 일원동 700-8,W84,37.495507594,127.085748474,
32,V02Q1940224,서울특별시 강남구 역삼동 738,W84,37.498641001,127.036337753,
33,V02Q1940102,서울특별시 강남구 일원동 739-2,W84,37.480834588,127.080968797,
34,V02Q1940789,서울특별시 강남구 삼성동 16-1,W84,37.517551605,127.047995114,
35,OC3CL200020,서울특별시 강남구 역삼동 814-6,W84,37.501274013,127.026376835,
36,OC3CL200021,서울특별시 강남구 신사동 581-6,W84,37.525532427,127.028229493,
37,OC3CL200022,서울특별시 강남구 대치동 889-45,W84,37.503091994,127.049875547,
38,OC3CL200023,서울특별시 강남구 대치동 890-57,W84,37.503596523,127.051592237,
39,OC3CL200015,서울특별시 강남구 신사동 532-12,W84,37.523384113,127.022414809,
40,OC3CL200024,서울특별시 강남구 신사동 541-17,W84,37.518392422,127.023422644,
41,OC3CL200175,서울특별시 강남구 개포동 1268,W84,37.479504606,127.050789002,
42,OC3CL200155,서울특별시 강남구 논현동 2,W84,37.516371943,127.020838504,
43,OC3CL200156,서울특별시 강남구 논현동 66,W84,37.51889789,127.02865319,
44,OC3CL200170,서울특별시 강남구 논현동 130-9,W84,37.512567161,127.031244602,
45,OC3CL200157,서울특별시 강남구 수서동362-9,W84,37.492381245,127.094589306,
46,OC3CL200176,서울특별시 강남구  세곡동 120-7,W84,37.465075516,127.106918502,
47,OC3CL200016,서울특별시 강남구 신사동 657-37,W84,37.525888672,127.039125808,
48,OC3CL200135,서울특별시  강남구 대치동 78-28,W84,37.501824817,127.070861538,
49,OC3CL200140,서울특별시  강남구 일원동 246-13,W84,37.479487084,127.079709566,
50,OC3CL200141,서울특별시 강남구 수서동 720,W84,37.488661301,127.106715764,
51,V02Q1940421,서울특별시 강동구 강일동 693,W84,37.563060099,127.178426767,
52,V02Q1940352,서울특별시 강동구 상일동 123,W84,37.553626154,127.168193008,
53,V02Q1940321,서울특별시 강동구 명일동 332,W84,37.549468318,127.146339447,
54,V02Q1940353,서울특별시 강동구 명일동 59,W84,37.546512413,127.152593815,
55,V02Q1940360,서울특별시 강동구 고덕동 691-4,W84,37.556847303,127.151357028,
56,V02Q1940355,서울특별시 강동구 고덕동 235,W84,37.560742575,127.164289117,
57,V02Q1940482,서울특별시 강동구 암사동 543,W84,37.551489763,127.133098234,
58,V02Q1940408,서울특별시 강동구 암사동 138,W84,37.557388648,127.130057635,
